centroid1078|centroid453
centroid664|centroid980
centroid1282|centroid664
centroid2410|centroid1282
centroid980|centroid2410
centroid665|centroid2411
centroid2411|centroid665
centroid1881|centroid2412
centroid666|centroid1881
centroid2412|centroid666
centroid2413|centroid1285
centroid2155|centroid2413
centroid1285|centroid2155
centroid1622|centroid670
centroid670|centroid1622
centroid1626|centroid2162
centroid2162|centroid1626
centroid1627|centroid673
centroid673|centroid1627
centroid1628|centroid2421
centroid2421|centroid1628
centroid2163|centroid1890
centroid1890|centroid2163
centroid1296|centroid2167
centroid2167|centroid1296
centroid1894|centroid2168
centroid2168|centroid1894
centroid2425|centroid1634
centroid996|centroid2425
centroid1634|centroid996
centroid1635|centroid2170
centroid2170|centroid1635
centroid2427|centroid1636
centroid1636|centroid2427
centroid1898|centroid1301
centroid1301|centroid1898
centroid1639|centroid1000
centroid1000|centroid1639
centroid2174|centroid2430
centroid2430|centroid2174
centroid2175|centroid2431
centroid2431|centroid2175
centroid1005|centroid1644
centroid1644|centroid1005
centroid1906|centroid2180
centroid2180|centroid1906
centroid2438|centroid1648
centroid1648|centroid2438
centroid1|centroid1310
centroid1310|centroid2182
centroid2182|centroid1
centroid2440|centroid1650
centroid1650|centroid2
centroid2|centroid2440
centroid2186|centroid1315
centroid1315|centroid2186
centroid1316|centroid6
centroid6|centroid1316
centroid1322|centroid2188
centroid2188|centroid1322
centroid12|centroid2451
centroid2451|centroid12
centroid2452|centroid2189
centroid2189|centroid2452
centroid2193|centroid1922
centroid1922|centroid2193
centroid17|centroid1662
centroid1662|centroid17
centroid1329|centroid2195
centroid2195|centroid1329
centroid21|centroid1331
centroid1331|centroid21
centroid2460|centroid1927
centroid1927|centroid2460
centroid24|centroid1334
centroid1334|centroid24
centroid2464|centroid2202
centroid2202|centroid2464
centroid27|centroid1932
centroid1932|centroid27
centroid1674|centroid1933
centroid1933|centroid1674
centroid1937|centroid2208
centroid2208|centroid1937
centroid1682|centroid1344
centroid1344|centroid1682
centroid2483|centroid45
centroid45|centroid2483
centroid52|centroid1956
centroid1956|centroid52
centroid2493|centroid2230
centroid2230|centroid2493
centroid2498|centroid2236
centroid2236|centroid2498
centroid1983|centroid2515
centroid2515|centroid1983
centroid2280|centroid2541
centroid2541|centroid2280
centroid2012|centroid107
centroid107|centroid2012
